core.externalId,core.name,core.description,core.businessDescription,core.businessName,custom.data.world.businessSummary,custom.data.world.iri,custom.data.world.columnTypeName,custom.data.world.dataOwner,custom.data.world.dataSteward,core.reference,custom.data.world.restrictedToPublic,custom.data.world.sensitiveData,custom.data.world.status,custom.data.world.technicalSteward,custom.data.world.typePrefix
fl_dn1_tn1_s1_cn1,column name 1,database name 1 table name 1 schema 1 column name 1,,,business summary 1,https://fl-dms.linked.data.world/d/ddw-catalogs/col.1,uniqueidentifier,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn2,column name 2,database name 1 table name 1 schema 1 column name 2,,,business summary 2,https://fl-dms.linked.data.world/d/ddw-catalogs/col.2,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn3,column name 3,database name 1 table name 1 schema 1 column name 3,,,business summary 3,https://fl-dms.linked.data.world/d/ddw-catalogs/col.3,VARCHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn4,column name 4,database name 1 table name 1 schema 1 column name 4,,,business summary 4,https://fl-dms.linked.data.world/d/ddw-catalogs/col.4,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn5,column name 5,database name 1 table name 1 schema 1 column name 5,,,business summary 5,https://fl-dms.linked.data.world/d/ddw-catalogs/col.5,NUMBER,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn6,column name 6,database name 1 table name 1 schema 1 column name 6,,,business summary 6,https://fl-dms.linked.data.world/d/ddw-catalogs/col.6,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn7,column name 7,database name 1 table name 1 schema 1 column name 7,,,business summary 7,https://fl-dms.linked.data.world/d/ddw-catalogs/col.7,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn8,column name 8,database name 1 table name 1 schema 1 column name 8,,,business summary 8,https://fl-dms.linked.data.world/d/ddw-catalogs/col.8,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn9,column name 9,database name 1 table name 1 schema 1 column name 9,,,business summary 9,https://fl-dms.linked.data.world/d/ddw-catalogs/col.9,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn10,column name 10,database name 1 table name 1 schema 1 column name 10,,,business summary 10,https://fl-dms.linked.data.world/d/ddw-catalogs/col.10,NUMBER,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn11,column name 11,database name 1 table name 1 schema 1 column name 11,,,business summary 11,https://fl-dms.linked.data.world/d/ddw-catalogs/col.11,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn12,column name 12,database name 1 table name 1 schema 1 column name 12,,,business summary 12,https://fl-dms.linked.data.world/d/ddw-catalogs/col.12,NUMBER,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn13,column name 13,database name 1 table name 1 schema 1 column name 13,,,business summary 13,https://fl-dms.linked.data.world/d/ddw-catalogs/col.13,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn14,column name 14,database name 1 table name 1 schema 1 column name 14,,,business summary 14,https://fl-dms.linked.data.world/d/ddw-catalogs/col.14,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn15,column name 15,database name 1 table name 1 schema 1 column name 15,,,business summary 15,https://fl-dms.linked.data.world/d/ddw-catalogs/col.15,KU$_CONSTRAINT1_LIST_T,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn16,column name 16,database name 1 table name 1 schema 1 column name 16,,,business summary 16,https://fl-dms.linked.data.world/d/ddw-catalogs/col.16,NUMBER,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
